model,layer,family,condition,n_pairs,direction_consistency,pc1_var_ratio,analogy_acc,direction_consistency_ci_lo,direction_consistency_ci_hi,analogy_acc_ci_lo,analogy_acc_ci_hi
google/gemma-2-2b,6,agent_dor,native,25,0.5945430972479819,0.11855733625727025,0.96,,,,
google/gemma-2-2b,6,agent_dor,morphemic,25,0.6378312715179024,0.1493422541923405,1.0,,,,
google/gemma-2-2b,6,agent_dor,delta,25,0.04328817426992049,0.030784917935070266,0.040000000000000036,,,,
google/gemma-2-2b,6,agent_er,native,25,0.591762664355162,0.11033776014204495,1.0,,,,
google/gemma-2-2b,6,agent_er,morphemic,25,0.7059881972760808,0.17484905391412062,1.0,,,,
google/gemma-2-2b,6,agent_er,delta,25,0.11422553292091875,0.06451129377207566,0.0,,,,
google/gemma-2-2b,6,cedilla,native,13,0.5170944792090457,0.21691757269403078,1.0,,,,
google/gemma-2-2b,6,cedilla,morphemic,13,0.583416129155588,0.2515827118362211,1.0,,,,
google/gemma-2-2b,6,cedilla,delta,13,0.06632164994654233,0.03466513914219033,0.0,,,,
google/gemma-2-2b,6,dim_et,native,30,0.41477975090675395,0.07765162764289457,0.9333333333333333,,,,
google/gemma-2-2b,6,dim_et,morphemic,30,0.5316363258532043,0.142979421259376,0.9333333333333333,,,,
google/gemma-2-2b,6,dim_et,delta,30,0.11685657494645035,0.06532779361648142,0.0,,,,
google/gemma-2-2b,6,gem_lla,native,12,0.4637484964560537,0.1811519549712319,1.0,,,,
google/gemma-2-2b,6,gem_lla,morphemic,12,0.6338313967109811,0.28290051414284156,1.0,,,,
google/gemma-2-2b,6,gem_lla,delta,12,0.1700829002549274,0.10174855917160966,0.0,,,,
google/gemma-2-2b,6,gender_a,native,25,0.38996065263236984,0.10587049394394853,1.0,,,,
google/gemma-2-2b,6,gender_a,morphemic,25,0.6165560775098755,0.16622276354286547,0.96,,,,
google/gemma-2-2b,6,gender_a,delta,25,0.22659542487750567,0.060352269598916944,-0.040000000000000036,,,,
google/gemma-2-2b,6,ly,native,40,0.6987898249677944,0.10688776143301428,1.0,,,,
google/gemma-2-2b,6,ly,morphemic,40,0.7469579161989716,0.13365371504657408,1.0,,,,
google/gemma-2-2b,6,ly,delta,40,0.04816809123117716,0.02676595361355981,0.0,,,,
google/gemma-2-2b,6,ment,native,40,0.55279975062822,0.09746219948719645,1.0,,,,
google/gemma-2-2b,6,ment,morphemic,40,0.5892763998287867,0.0933228980035254,0.975,,,,
google/gemma-2-2b,6,ment,delta,40,0.0364766492005667,-0.004139301483671046,-0.025000000000000022,,,,
google/gemma-2-2b,6,nom_cio,native,24,0.7145890885773785,0.12335183198615772,1.0,,,,
google/gemma-2-2b,6,nom_cio,morphemic,24,0.7370831883643207,0.12105309694429002,1.0,,,,
google/gemma-2-2b,6,nom_cio,delta,24,0.02249409978694228,-0.0022987350418677,0.0,,,,
google/gemma-2-2b,6,nom_tion,native,25,0.6448088738824044,0.12378025397742783,0.96,,,,
google/gemma-2-2b,6,nom_tion,morphemic,25,0.6628027398588844,0.09713793952566749,1.0,,,,
google/gemma-2-2b,6,nom_tion,delta,25,0.017993865976480006,-0.026642314451760338,0.040000000000000036,,,,
google/gemma-2-2b,6,ny,native,12,0.45060142052083246,0.19197948689273933,1.0,,,,
google/gemma-2-2b,6,ny,morphemic,12,0.6147182562217418,0.28474806700963223,1.0,,,,
google/gemma-2-2b,6,ny,delta,12,0.16411683570090935,0.0927685801168929,0.0,,,,
google/gemma-2-2b,6,plural,native,30,0.3815315895145267,0.1509764880200152,1.0,,,,
google/gemma-2-2b,6,plural,morphemic,30,0.6871932177776982,0.12430181571997437,1.0,,,,
google/gemma-2-2b,6,plural,delta,30,0.30566162826317145,-0.026674672300040836,0.0,,,,
google/gemma-2-2b,6,plural_s,native,30,0.6924770693117381,0.14667530065070858,1.0,,,,
google/gemma-2-2b,6,plural_s,morphemic,30,0.8001750951428419,0.09910585968786217,1.0,,,,
google/gemma-2-2b,6,plural_s,delta,30,0.10769802583110377,-0.047569440962846404,0.0,,,,
google/gemma-2-2b,6,verb_em,native,25,0.5857206016916197,0.13456446769242708,0.96,,,,
google/gemma-2-2b,6,verb_em,morphemic,25,0.6788143153378856,0.16645781477579033,1.0,,,,
google/gemma-2-2b,6,verb_em,delta,25,0.09309371364626595,0.03189334708336325,0.040000000000000036,,,,
google/gemma-2-2b,15,agent_dor,native,25,0.6185866659892035,0.1331318833115366,0.96,,,,
google/gemma-2-2b,15,agent_dor,morphemic,25,0.6312930647731317,0.16098153007083318,0.96,,,,
google/gemma-2-2b,15,agent_dor,delta,25,0.012706398783928208,0.027849646759296576,0.0,,,,
google/gemma-2-2b,15,agent_er,native,25,0.6232995408076172,0.14807102417671683,1.0,,,,
google/gemma-2-2b,15,agent_er,morphemic,25,0.6839906103293676,0.21347897349562048,0.96,,,,
google/gemma-2-2b,15,agent_er,delta,25,0.06069106952175041,0.06540794931890365,-0.040000000000000036,,,,
google/gemma-2-2b,15,cedilla,native,13,0.5216974526656851,0.25963246363613096,0.9230769230769231,,,,
google/gemma-2-2b,15,cedilla,morphemic,13,0.5390947632238761,0.2884354242625168,1.0,,,,
google/gemma-2-2b,15,cedilla,delta,13,0.017397310558190937,0.02880296062638582,0.07692307692307687,,,,
google/gemma-2-2b,15,dim_et,native,30,0.4461727144514026,0.11815700482117746,0.9666666666666667,,,,
google/gemma-2-2b,15,dim_et,morphemic,30,0.5277767545564744,0.18679420553576054,0.9,,,,
google/gemma-2-2b,15,dim_et,delta,30,0.08160404010507183,0.06863720071458308,-0.06666666666666665,,,,
google/gemma-2-2b,15,gem_lla,native,12,0.5007012838746709,0.1988793298764395,1.0,,,,
google/gemma-2-2b,15,gem_lla,morphemic,12,0.6322613750576739,0.27954515045645384,1.0,,,,
google/gemma-2-2b,15,gem_lla,delta,12,0.13156009118300294,0.08066582058001434,0.0,,,,
google/gemma-2-2b,15,gender_a,native,25,0.41106731148117703,0.15556285016598054,1.0,,,,
google/gemma-2-2b,15,gender_a,morphemic,25,0.6020264755141901,0.18305525777869144,0.96,,,,
google/gemma-2-2b,15,gender_a,delta,25,0.19095916403301305,0.027492407612710906,-0.040000000000000036,,,,
google/gemma-2-2b,15,ly,native,40,0.6805839639950428,0.1739711315217802,0.975,,,,
google/gemma-2-2b,15,ly,morphemic,40,0.7266249070482612,0.15506187282402298,1.0,,,,
google/gemma-2-2b,15,ly,delta,40,0.046040943053218375,-0.018909258697757225,0.025000000000000022,,,,
google/gemma-2-2b,15,ment,native,40,0.592869356905517,0.14642687255754094,0.9,,,,
google/gemma-2-2b,15,ment,morphemic,40,0.6162854677635939,0.14391808247765586,0.925,,,,
google/gemma-2-2b,15,ment,delta,40,0.023416110858076933,-0.0025087900798850815,0.025000000000000022,,,,
google/gemma-2-2b,15,nom_cio,native,24,0.6983464503585285,0.16308470688496982,1.0,,,,
google/gemma-2-2b,15,nom_cio,morphemic,24,0.7113553704397094,0.17018236843069523,1.0,,,,
google/gemma-2-2b,15,nom_cio,delta,24,0.01300892008118093,0.007097661545725414,0.0,,,,
google/gemma-2-2b,15,nom_tion,native,25,0.6619673292478905,0.15401307073789464,1.0,,,,
google/gemma-2-2b,15,nom_tion,morphemic,25,0.6682794840942076,0.14748224330703552,0.96,,,,
google/gemma-2-2b,15,nom_tion,delta,25,0.006312154846317086,-0.006530827430859115,-0.040000000000000036,,,,
google/gemma-2-2b,15,ny,native,12,0.46666076698523945,0.2820192632778744,0.9166666666666666,,,,
google/gemma-2-2b,15,ny,morphemic,12,0.558031247874354,0.2980383906715333,1.0,,,,
google/gemma-2-2b,15,ny,delta,12,0.09137048088911454,0.016019127393658905,0.08333333333333337,,,,
google/gemma-2-2b,15,plural,native,30,0.41832991533321057,0.1835444657076944,0.9333333333333333,,,,
google/gemma-2-2b,15,plural,morphemic,30,0.6667137409342601,0.1284245317209649,1.0,,,,
google/gemma-2-2b,15,plural,delta,30,0.2483838256010495,-0.055119933986729486,0.06666666666666665,,,,
google/gemma-2-2b,15,plural_s,native,30,0.7033470593981915,0.16051933597636703,1.0,,,,
google/gemma-2-2b,15,plural_s,morphemic,30,0.7803548039944691,0.1452683982729507,1.0,,,,
google/gemma-2-2b,15,plural_s,delta,30,0.07700774459627757,-0.015250937703416317,0.0,,,,
google/gemma-2-2b,15,verb_em,native,25,0.5929143342815064,0.12441984360990889,0.92,,,,
google/gemma-2-2b,15,verb_em,morphemic,25,0.6808416503799907,0.1541231375350081,1.0,,,,
google/gemma-2-2b,15,verb_em,delta,25,0.08792731609848425,0.029703293925099197,0.07999999999999996,,,,
google/gemma-2-2b,22,agent_dor,native,25,0.5518756335164176,0.15132454239569076,0.92,,,,
google/gemma-2-2b,22,agent_dor,morphemic,25,0.5782065854508766,0.18478750926347637,0.96,,,,
google/gemma-2-2b,22,agent_dor,delta,25,0.026330951934459,0.033462966867785604,0.039999999999999925,-0.025439633447851558,0.07581212991759402,-0.08,0.16
google/gemma-2-2b,22,agent_er,native,25,0.6199983673375401,0.13945599050262308,1.0,,,,
google/gemma-2-2b,22,agent_er,morphemic,25,0.6510106648269257,0.3235856631730776,0.92,,,,
google/gemma-2-2b,22,agent_er,delta,25,0.03101229748938561,0.1841296726704545,-0.07999999999999996,-0.04168120577990747,0.09816004154578147,-0.2,0.0
google/gemma-2-2b,22,cedilla,native,13,0.5031558800692473,0.29416680485406665,0.8461538461538461,,,,
google/gemma-2-2b,22,cedilla,morphemic,13,0.48222432572866764,0.3546504327376031,0.9230769230769231,,,,
google/gemma-2-2b,22,cedilla,delta,13,-0.02093155434057964,0.06048362788353645,0.07692307692307698,-0.07566208294472826,0.03188227215026276,-0.15384615384615385,0.3076923076923077
google/gemma-2-2b,22,dim_et,native,30,0.38322000852141574,0.11944363230540653,0.9333333333333333,,,,
google/gemma-2-2b,22,dim_et,morphemic,30,0.4813069442205226,0.23379388583571198,0.7666666666666667,,,,
google/gemma-2-2b,22,dim_et,delta,30,0.09808693569910687,0.11435025353030545,-0.16666666666666663,0.02806441053396622,0.14920419145122363,-0.3333333333333333,0.0
google/gemma-2-2b,22,gem_lla,native,12,0.457452328916285,0.2391146668411041,1.0,,,,
google/gemma-2-2b,22,gem_lla,morphemic,12,0.5703375229389231,0.3234749236503777,1.0,,,,
google/gemma-2-2b,22,gem_lla,delta,12,0.11288519402263814,0.08436025680927361,0.0,0.020444632217317432,0.17687684527490097,0.0,0.0
google/gemma-2-2b,22,gender_a,native,25,0.40493256733681143,0.20597115552722137,0.96,,,,
google/gemma-2-2b,22,gender_a,morphemic,25,0.5845126474143301,0.2405372664350339,0.92,,,,
google/gemma-2-2b,22,gender_a,delta,25,0.17958008007751863,0.03456611090781253,-0.039999999999999925,0.0814518440696512,0.2352563297515886,-0.12,0.0
google/gemma-2-2b,22,ly,native,40,0.6564633133909823,0.1422311812767762,0.9,,,,
google/gemma-2-2b,22,ly,morphemic,40,0.6928877441679633,0.20926731259429207,0.95,,,,
google/gemma-2-2b,22,ly,delta,40,0.03642443077698099,0.06703613131751587,0.04999999999999993,-0.005250802766927382,0.06875530198827537,-0.075,0.175
google/gemma-2-2b,22,ment,native,40,0.5270642264476876,0.17008322587436123,0.8,,,,
google/gemma-2-2b,22,ment,morphemic,40,0.5828683367691612,0.1393679720997388,0.9,,,,
google/gemma-2-2b,22,ment,delta,40,0.05580411032147359,-0.03071525377462242,0.09999999999999998,0.007217546806582878,0.09731500352541952,-0.025,0.225
google/gemma-2-2b,22,nom_cio,native,24,0.6982419856058408,0.20000885553378916,0.9583333333333334,,,,
google/gemma-2-2b,22,nom_cio,morphemic,24,0.7261158001622231,0.1753349922213039,1.0,,,,
google/gemma-2-2b,22,nom_cio,delta,24,0.02787381455638227,-0.024673863312485278,0.04166666666666663,-0.004399188957518473,0.05810360073135601,0.0,0.125
google/gemma-2-2b,22,nom_tion,native,25,0.6552624395933272,0.18027577559200664,0.96,,,,
google/gemma-2-2b,22,nom_tion,morphemic,25,0.6395770402927136,0.2257278447963354,0.92,,,,
google/gemma-2-2b,22,nom_tion,delta,25,-0.015685399300613634,0.04545206920432876,-0.039999999999999925,-0.06505480286305308,0.0350856204474239,-0.16,0.08
google/gemma-2-2b,22,ny,native,12,0.4791882469949169,0.3134439333942678,0.9166666666666666,,,,
google/gemma-2-2b,22,ny,morphemic,12,0.535251972084876,0.3732572377246774,1.0,,,,
google/gemma-2-2b,22,ny,delta,12,0.05606372508995905,0.0598133043304096,0.08333333333333337,-0.04762337930529062,0.1414651014185314,0.0,0.25
google/gemma-2-2b,22,plural,native,30,0.40414671297856736,0.15655599369924644,0.9666666666666667,,,,
google/gemma-2-2b,22,plural,morphemic,30,0.6412185758516356,0.13731563168383287,1.0,,,,
google/gemma-2-2b,22,plural,delta,30,0.2370718628730682,-0.01924036201541357,0.033333333333333326,0.16079993780860258,0.2674850393579249,0.0,0.1
google/gemma-2-2b,22,plural_s,native,30,0.6916074291175968,0.19835395048984786,0.9666666666666667,,,,
google/gemma-2-2b,22,plural_s,morphemic,30,0.7247242201503309,0.1476983005748432,1.0,,,,
google/gemma-2-2b,22,plural_s,delta,30,0.03311679103273413,-0.05065564991500465,0.033333333333333326,0.0035208465987525196,0.06435756140858462,0.0,0.1
google/gemma-2-2b,22,verb_em,native,25,0.5847095965713744,0.13430904802705468,0.76,,,,
google/gemma-2-2b,22,verb_em,morphemic,25,0.6891334365718442,0.1622708865375719,1.0,,,,
google/gemma-2-2b,22,verb_em,delta,25,0.10442384000046978,0.02796183851051723,0.24,0.05345375579484678,0.13348187961231756,0.08,0.4
google/gemma-4-E2B,6,agent_dor,native,25,0.6549668903117976,0.127910293399142,0.96,,,,
google/gemma-4-E2B,6,agent_dor,morphemic,25,0.6796524246265062,0.141005495948339,1.0,,,,
google/gemma-4-E2B,6,agent_dor,delta,25,0.024685534314708657,0.013095202549196994,0.040000000000000036,,,,
google/gemma-4-E2B,6,agent_er,native,25,0.5997645447409812,0.10528987712172302,1.0,,,,
google/gemma-4-E2B,6,agent_er,morphemic,25,0.6516706617803573,0.13234636902747374,1.0,,,,
google/gemma-4-E2B,6,agent_er,delta,25,0.05190611703937609,0.027056491905750713,0.0,,,,
google/gemma-4-E2B,6,cedilla,native,13,0.5164437363185258,0.2119530576219775,1.0,,,,
google/gemma-4-E2B,6,cedilla,morphemic,13,0.5170248221107195,0.23708250406702358,1.0,,,,
google/gemma-4-E2B,6,cedilla,delta,13,0.0005810857921937362,0.025129446445046083,0.0,,,,
google/gemma-4-E2B,6,dim_et,native,30,0.4413723814986923,0.11012591776160402,0.9666666666666667,,,,
google/gemma-4-E2B,6,dim_et,morphemic,30,0.49168666552981827,0.1077356169530867,1.0,,,,
google/gemma-4-E2B,6,dim_et,delta,30,0.05031428403112598,-0.0023903008085173205,0.033333333333333326,,,,
google/gemma-4-E2B,6,gem_lla,native,12,0.5184795533513219,0.18594522646614656,1.0,,,,
google/gemma-4-E2B,6,gem_lla,morphemic,12,0.6020731501448966,0.20042315310695946,1.0,,,,
google/gemma-4-E2B,6,gem_lla,delta,12,0.0835935967935747,0.014477926640812905,0.0,,,,
google/gemma-4-E2B,6,gender_a,native,25,0.4082322607414647,0.15064393882571125,0.96,,,,
google/gemma-4-E2B,6,gender_a,morphemic,25,0.5672686351017455,0.16430492775007777,1.0,,,,
google/gemma-4-E2B,6,gender_a,delta,25,0.15903637436028084,0.013660988924366513,0.040000000000000036,,,,
google/gemma-4-E2B,6,ly,native,40,0.6745828095250902,0.12450449616225975,1.0,,,,
google/gemma-4-E2B,6,ly,morphemic,40,0.7232159885551191,0.11918457624835403,1.0,,,,
google/gemma-4-E2B,6,ly,delta,40,0.04863317903002895,-0.005319919913905721,0.0,,,,
google/gemma-4-E2B,6,ment,native,40,0.6145657407767542,0.11836808131295269,1.0,,,,
google/gemma-4-E2B,6,ment,morphemic,40,0.5957599513410872,0.09294333148004609,1.0,,,,
google/gemma-4-E2B,6,ment,delta,40,-0.01880578943566702,-0.0254247498329066,0.0,,,,
google/gemma-4-E2B,6,nom_cio,native,24,0.6730207688429175,0.164267480107608,1.0,,,,
google/gemma-4-E2B,6,nom_cio,morphemic,24,0.6925526668484995,0.16575816208938024,1.0,,,,
google/gemma-4-E2B,6,nom_cio,delta,24,0.01953189800558197,0.0014906819817722405,0.0,,,,
google/gemma-4-E2B,6,nom_tion,native,25,0.6014248721421079,0.12959742271120034,0.96,,,,
google/gemma-4-E2B,6,nom_tion,morphemic,25,0.601723696481838,0.09781396489268838,1.0,,,,
google/gemma-4-E2B,6,nom_tion,delta,25,0.00029882433973005273,-0.031783457818511954,0.040000000000000036,,,,
google/gemma-4-E2B,6,ny,native,12,0.49830790989514634,0.21352087352612362,0.9166666666666666,,,,
google/gemma-4-E2B,6,ny,morphemic,12,0.5511781677331281,0.2886536973151233,0.9166666666666666,,,,
google/gemma-4-E2B,6,ny,delta,12,0.05287025783798177,0.07513282378899969,0.0,,,,
google/gemma-4-E2B,6,plural,native,30,0.4667028805890175,0.14527596332736448,0.9666666666666667,,,,
google/gemma-4-E2B,6,plural,morphemic,30,0.6127320443883627,0.1005015911457137,1.0,,,,
google/gemma-4-E2B,6,plural,delta,30,0.14602916379934522,-0.04477437218165077,0.033333333333333326,,,,
google/gemma-4-E2B,6,plural_s,native,30,0.6573126699244247,0.2126311503404403,1.0,,,,
google/gemma-4-E2B,6,plural_s,morphemic,30,0.7123935475326555,0.12229880686755906,1.0,,,,
google/gemma-4-E2B,6,plural_s,delta,30,0.05508087760823077,-0.09033234347288124,0.0,,,,
google/gemma-4-E2B,6,verb_em,native,25,0.6409567721714114,0.1768921246978734,1.0,,,,
google/gemma-4-E2B,6,verb_em,morphemic,25,0.6986678918971674,0.18661996878936402,1.0,,,,
google/gemma-4-E2B,6,verb_em,delta,25,0.05771111972575593,0.009727844091490606,0.0,,,,
google/gemma-4-E2B,15,agent_dor,native,25,0.5331010462008321,0.44468632369475014,0.6,,,,
google/gemma-4-E2B,15,agent_dor,morphemic,25,0.556059170178636,0.29783349673853965,0.6,,,,
google/gemma-4-E2B,15,agent_dor,delta,25,0.022958123977803946,-0.1468528269562105,0.0,,,,
google/gemma-4-E2B,15,agent_er,native,25,0.6048196660104879,0.2577319559446628,0.48,,,,
google/gemma-4-E2B,15,agent_er,morphemic,25,0.7029737608787678,0.5128597767196887,0.8,,,,
google/gemma-4-E2B,15,agent_er,delta,25,0.09815409486827997,0.25512782077502594,0.32000000000000006,,,,
google/gemma-4-E2B,15,cedilla,native,13,0.5003611747107992,0.43473204777300967,0.5384615384615384,,,,
google/gemma-4-E2B,15,cedilla,morphemic,13,0.45406529019596353,0.439559479811141,0.6923076923076923,,,,
google/gemma-4-E2B,15,cedilla,delta,13,-0.04629588451483568,0.004827432038131352,0.15384615384615385,,,,
google/gemma-4-E2B,15,dim_et,native,30,0.4180706151883803,0.41626440287633787,0.7,,,,
google/gemma-4-E2B,15,dim_et,morphemic,30,0.42413031028623116,0.4915412092098338,0.6333333333333333,,,,
google/gemma-4-E2B,15,dim_et,delta,30,0.00605969509785087,0.07527680633349593,-0.06666666666666665,,,,
google/gemma-4-E2B,15,gem_lla,native,12,0.48159769828530147,0.4125200011083142,1.0,,,,
google/gemma-4-E2B,15,gem_lla,morphemic,12,0.6208102878297882,0.5090812339678833,1.0,,,,
google/gemma-4-E2B,15,gem_lla,delta,12,0.13921258954448673,0.09656123285956908,0.0,,,,
google/gemma-4-E2B,15,gender_a,native,25,0.32884711425177743,0.38707385748223655,0.56,,,,
google/gemma-4-E2B,15,gender_a,morphemic,25,0.5742514381149714,0.4127042841468787,0.84,,,,
google/gemma-4-E2B,15,gender_a,delta,25,0.24540432386319394,0.02563042666464216,0.2799999999999999,,,,
google/gemma-4-E2B,15,ly,native,40,0.7277099581649153,0.17650801016162956,0.15,,,,
google/gemma-4-E2B,15,ly,morphemic,40,0.7447004997596531,0.26360118470164984,0.95,,,,
google/gemma-4-E2B,15,ly,delta,40,0.016990541594737785,0.08709317454002027,0.7999999999999999,,,,
google/gemma-4-E2B,15,ment,native,40,0.6007987531819057,0.23648563857270413,0.75,,,,
google/gemma-4-E2B,15,ment,morphemic,40,0.6446787082846264,0.27038838095412027,0.625,,,,
google/gemma-4-E2B,15,ment,delta,40,0.04387995510272069,0.033902742381416134,-0.125,,,,
google/gemma-4-E2B,15,nom_cio,native,24,0.7122346394633784,0.32157852891066435,0.7916666666666666,,,,
google/gemma-4-E2B,15,nom_cio,morphemic,24,0.5860666619265892,0.23012392188818717,0.75,,,,
google/gemma-4-E2B,15,nom_cio,delta,24,-0.1261679775367892,-0.09145460702247718,-0.04166666666666663,,,,
google/gemma-4-E2B,15,nom_tion,native,25,0.6490781528452492,0.2337004114843221,0.68,,,,
google/gemma-4-E2B,15,nom_tion,morphemic,25,0.6876172428972221,0.3927398868056299,0.52,,,,
google/gemma-4-E2B,15,nom_tion,delta,25,0.03853909005197298,0.15903947532130777,-0.16000000000000003,,,,
google/gemma-4-E2B,15,ny,native,12,0.4570416614419175,0.385777119861051,0.5833333333333334,,,,
google/gemma-4-E2B,15,ny,morphemic,12,0.4891360536305583,0.41923279249865636,0.8333333333333334,,,,
google/gemma-4-E2B,15,ny,delta,12,0.0320943921886408,0.03345567263760535,0.25,,,,
google/gemma-4-E2B,15,plural,native,30,0.47869175009460757,0.3469525587745484,0.5666666666666667,,,,
google/gemma-4-E2B,15,plural,morphemic,30,0.6738571351048793,0.3750008887509777,0.9666666666666667,,,,
google/gemma-4-E2B,15,plural,delta,30,0.19516538501027175,0.02804832997642931,0.4,,,,
google/gemma-4-E2B,15,plural_s,native,30,0.6842118840857524,0.33092613295123235,0.7666666666666667,,,,
google/gemma-4-E2B,15,plural_s,morphemic,30,0.7562374568872009,0.23201376480047592,1.0,,,,
google/gemma-4-E2B,15,plural_s,delta,30,0.0720255728014485,-0.09891236815075644,0.23333333333333328,,,,
google/gemma-4-E2B,15,verb_em,native,25,0.6263076367949356,0.30665486727498154,0.6,,,,
google/gemma-4-E2B,15,verb_em,morphemic,25,0.6618538170414205,0.4099357384575305,0.72,,,,
google/gemma-4-E2B,15,verb_em,delta,25,0.035546180246484926,0.10328087118254897,0.12,,,,
google/gemma-4-E2B,22,agent_dor,native,25,0.5796034836533134,0.3962166470657679,0.56,,,,
google/gemma-4-E2B,22,agent_dor,morphemic,25,0.5611623231770733,0.31384361141248535,0.56,,,,
google/gemma-4-E2B,22,agent_dor,delta,25,-0.018441160476240115,-0.08237303565328258,0.0,-0.0820950921491575,0.04435749931207272,-0.28,0.28
google/gemma-4-E2B,22,agent_er,native,25,0.6627856593181821,0.22023443409680635,0.36,,,,
